# Transmission spectrum extracted from transmission.png
# Columns: pixel_x, pixel_y, x_normalized, y_normalized
# Note: x_normalized and y_normalized are in range [0, 1]
# The actual wavelength/frequency and transmission values depend on the original plot axes
# Modify the ranges in the script if you know the actual axis values
#
# pixel_x    pixel_y    x_normalized    y_normalized(transmission)
   627.0     298.5  0.573126  0.222656
   628.0     298.5  0.574040  0.222656
   629.0     299.0  0.574954  0.221354
   630.0     226.3  0.575868  0.410714
   631.0     226.3  0.576782  0.410714
   632.0     226.3  0.577697  0.410714
   633.0     300.0  0.578611  0.218750
   634.0     300.5  0.579525  0.217448
   635.0     300.5  0.580439  0.217448
   636.0     268.2  0.581353  0.301432
   637.0     236.0  0.582267  0.385417
   638.0     268.8  0.583181  0.300130
   639.0     301.5  0.584095  0.214844
   640.0     302.0  0.585009  0.213542
   641.0     302.5  0.585923  0.212240
   642.0     280.6  0.586837  0.269314
   643.0     258.7  0.587751  0.326389
   644.0     236.8  0.588665  0.383464
   645.0     304.0  0.589580  0.208333
   646.0     304.5  0.590494  0.207031
   647.0     304.5  0.591408  0.207031
   648.0     271.0  0.592322  0.294271
   649.0     237.5  0.593236  0.381510
   650.0     271.5  0.594150  0.292969
   651.0     305.5  0.595064  0.204427
   652.0     305.5  0.595978  0.204427
   653.0     306.0  0.596892  0.203125
   654.0     238.2  0.597806  0.379557
   655.0     261.3  0.598720  0.319444
   656.0     284.4  0.599634  0.259332
   657.0     307.5  0.600548  0.199219
   658.0     308.0  0.601463  0.197917
   659.0     308.5  0.602377  0.196615
   660.0     239.0  0.603291  0.377604
   661.0     262.7  0.604205  0.315972
   662.0     286.3  0.605119  0.254340
   663.0     310.0  0.606033  0.192708
   664.0     310.5  0.606947  0.191406
   665.0     310.5  0.607861  0.191406
   666.0     275.1  0.608775  0.283529
   667.0     239.8  0.609689  0.375651
   668.0     275.9  0.610603  0.281576
   669.0     312.0  0.611517  0.187500
   670.0     312.5  0.612431  0.186198
   671.0     312.5  0.613346  0.186198
